file,accuracy
sst2_deberta_base_lora_all.csv,0.9446919079435783
imdb_ollama_ds_r1_8b_64.csv,0.9375
imdb_ollama_qw3_8b_16.csv,0.9375
imdb_ollama_qw3_8b_64.csv,0.9375
sst2_deberta_base_lora_allsentence.csv,0.9328333333333333
sst2_deberta_base_lora_16384.csv,0.9293333333333333
imdb_ollama_qw3_8b_256.csv,0.92578125
sst2_deberta_base_lora_8192.csv,0.9251666666666667
imdb_ollama_lm3.1_8b_64.csv,0.921875
sst2_deberta_base_lora_4096.csv,0.9133333333333333
imdb_ollama_llama3.1_8b_64.csv,0.9097222222222222
imdb_ollama_ds_r1_8b_512.csv,0.90625
imdb_ollama_llama3.1_8b_16.csv,0.9053030303030303
imdb_ollama_llama3.1_8b_256.csv,0.9036458333333334
imdb_ollama_ds_r1_8b_256.csv,0.90234375
imdb_ollama_gemma2_9b_256.csv,0.9006696428571429
imdb_ollama_gemma2_9b_16.csv,0.9001288659793815
imdb_ollama_gemma2_9b_64.csv,0.9
imdb_ollama_qwen3_8b_512.csv,0.8997395833333334
imdb_ollama_phi4_mini_3.8b_64.csv,0.8986742424242424
imdb_ollama_qwen3_8b_256.csv,0.8984375
imdb_ollama_gemma2_9b_512.csv,0.89794921875
imdb_ollama_phi4_mini_3.8b_16.csv,0.8977713178294574
imdb_ollama_ds_r1_8b_1024.csv,0.8974609375
imdb_ollama_qwen3_8b_64.csv,0.8952205882352942
imdb_ollama_phi4_mini_3.8b_256.csv,0.8932291666666666
imdb_ollama_qwen3_8b_16.csv,0.8923076923076924
imdb_ollama_llama3.1_8b_512.csv,0.8916015625
imdb_ollama_lm3.1_8b_256.csv,0.890625
imdb_ollama_ds_r1_8b_16.csv,0.875
imdb_ollama_mistral_7b_16.csv,0.8552018633540373
imdb_ollama_phi4_mini_3.8b_512.csv,0.855078125
imdb_ollama_mistral_7b_64.csv,0.8540396341463414
imdb_ollama_mistral_7b_256.csv,0.8533380681818182
imdb_ollama_mistral_7b_512.csv,0.8486328125
imdb_ollama_lm3.1_8b_16.csv,0.8125
sst2_deberta_base_lora_1024.csv,0.4498333333333333
sst2_deberta_base_lora_16.csv,0.4498333333333333
sst2_deberta_base_lora_256.csv,0.4498333333333333
sst2_deberta_base_lora_64.csv,0.4498333333333333
