id,sentiment,true_label
11911,0,0
4216,1,1
13135,0,0
29056,0,0
17311,0,0
16212,1,1
17662,1,1
6617,1,1
28742,0,0
29241,1,0
21756,1,1
28268,0,0
8754,1,1
2350,1,1
3270,1,1
8958,1,0
6544,1,1
27468,1,1
7586,1,1
19468,1,1
26034,1,1
16256,0,0
2830,1,1
17858,1,1
11376,1,1
25577,1,1
2680,0,0
24764,1,1
2905,1,1
8616,1,1
22397,0,0
19973,1,1
6873,1,1
3707,1,1
14569,0,0
8541,1,1
18370,0,0
8215,0,0
25373,1,1
26754,1,1
10063,0,0
17787,1,1
22134,0,1
4509,0,0
25812,1,1
1501,1,1
10730,0,0
23167,1,1
2646,1,1
17903,1,1
24742,0,0
1261,1,1
29544,1,1
6127,0,0
3108,1,1
10959,1,1
8692,1,1
3959,0,0
25358,1,1
5264,0,0
1401,1,1
21774,1,1
11784,1,1
24197,1,1
10134,1,1
20559,1,1
3479,1,1
18960,0,0
6002,0,0
11221,1,1
22770,1,1
12503,1,0
25279,0,0
14091,0,1
5249,0,0
19980,1,1
6323,0,0
10061,0,1
10753,1,1
15045,1,1
4467,0,0
6947,0,0
9928,0,0
16092,1,1
21611,0,0
26712,1,1
1739,1,1
5571,0,0
15357,0,0
25678,0,1
8905,0,0
28298,0,0
12655,0,0
11525,0,1
25840,1,1
29170,1,1
19832,1,1
16687,0,0
11652,0,1
21092,0,0
20223,0,0
455,1,1
29373,1,1
2262,0,0
6698,1,0
24344,0,0
23326,0,0
9623,1,1
2824,1,1
12676,1,1
29747,1,1
23381,0,1
13648,0,0
6062,0,0
14936,1,1
7925,0,0
28739,0,0
24365,0,1
22942,1,1
14719,1,1
26638,1,1
15300,1,1
17156,0,1
8708,0,0
21594,0,0
27190,1,1
27971,1,1
7113,0,0
19712,0,0
9114,1,1
28489,0,0
9702,1,1
21237,1,1
28013,1,1
14279,0,0
7778,1,1
7381,0,0
5154,1,1
1707,0,0
2887,0,0
5420,1,1
8912,0,0
24360,1,1
11923,0,0
26086,0,0
28886,1,1
23687,0,0
12769,1,1
815,0,1
341,0,0
28190,1,1
25179,0,0
9458,0,1
7347,0,0
12040,0,0
4361,0,0
648,0,0
13218,0,0
23370,1,1
24337,1,1
26655,0,0
21404,0,0
22119,0,0
4641,1,1
16729,1,1
8767,0,0
18673,1,1
27766,0,0
7461,0,0
29189,0,0
2032,1,1
26322,0,0
4144,0,0
2809,1,0
17425,0,0
14182,0,0
3436,1,1
25051,1,1
13686,1,1
5269,0,0
20392,1,1
24748,1,1
1813,1,1
12365,1,1
23906,0,0
22278,0,0
407,0,0
1387,0,0
25160,0,0
18725,0,0
1403,1,1
28866,0,0
27759,0,0
3591,0,0
13183,0,0
1113,1,1
25482,1,1
17920,1,1
24520,0,0
5578,1,1
4088,1,1
19605,1,1
25739,0,0
16802,0,0
17779,0,0
25782,0,0
26735,1,1
3366,0,0
3389,0,0
11782,0,0
17623,0,0
29567,1,1
16773,1,0
13983,0,0
13466,0,1
21777,0,0
10035,0,0
25265,0,0
4017,1,1
13951,1,1
14078,1,1
27424,1,1
29760,0,0
7299,1,1
20287,0,0
7965,1,1
26602,1,1
1947,1,1
12277,0,1
21871,0,1
16034,1,1
5839,1,1
2476,1,1
4524,0,0
24417,1,1
14050,1,1
12588,1,1
13035,1,1
11254,0,0
10221,0,0
2519,1,1
28727,0,1
15006,1,1
8788,1,1
4885,1,1
11727,0,0
9178,1,1
26453,0,0
2402,1,0
24070,0,0
23059,0,0
23885,1,1
21803,1,1
25440,0,0
29743,0,0
10950,1,1
24121,0,0
29979,0,0
1411,1,1
12329,0,0
18036,1,1
29842,0,0
26743,1,1
14812,1,1
8176,1,1
24999,1,0
5388,1,1
9763,1,1
12654,1,1
6202,1,1
5161,0,0
5636,0,0
16824,1,1
12377,0,0
28146,0,0
14685,1,1
12786,0,0
7328,1,1
29769,1,1
10206,0,0
4138,0,0
23877,0,0
9529,0,0
24016,0,0
139,0,0
19111,0,1
5639,1,1
14912,0,0
11578,1,1
21718,1,1
27494,1,1
20266,1,1
28062,1,1
3481,0,0
5654,1,1
12161,0,0
12272,0,0
18100,1,1
12721,1,1
7171,1,1
14718,0,0
7011,0,0
11676,1,1
13379,1,1
3186,0,0
17548,1,1
15078,1,1
27948,1,1
20031,1,1
9376,0,1
6518,1,1
8895,1,1
8106,0,0
24212,0,0
7841,0,0
15115,0,0
4447,0,0
17217,0,1
3149,1,1
25530,0,0
20973,0,0
14432,0,0
7575,1,0
5194,1,1
20179,0,0
25074,1,1
13712,0,0
28890,1,1
5943,1,1
25689,0,0
1374,0,0
29659,1,1
7688,1,1
2219,1,1
28030,1,1
14222,0,0
5701,0,0
3212,1,1
