id,sentiment,true_label
11911,0,0
4216,0,1
13135,0,0
29056,0,0
17311,0,0
16212,0,1
17662,0,1
6617,0,1
28742,0,0
29241,0,0
21756,0,1
28268,0,0
8754,0,1
2350,0,1
3270,0,1
8958,0,0
6544,0,1
27468,0,1
7586,0,1
19468,0,1
26034,0,1
16256,0,0
2830,0,1
17858,0,1
11376,0,1
25577,0,1
2680,0,0
24764,0,1
2905,0,1
8616,0,1
22397,0,0
19973,0,1
6873,0,1
3707,0,1
14569,0,0
8541,0,1
18370,0,0
8215,0,0
25373,0,1
26754,0,1
10063,0,0
17787,0,1
22134,0,1
4509,0,0
25812,0,1
1501,0,1
10730,0,0
23167,0,1
2646,0,1
17903,0,1
24742,0,0
1261,0,1
29544,0,1
6127,0,0
3108,0,1
10959,0,1
8692,0,1
3959,0,0
25358,0,1
5264,0,0
1401,0,1
21774,0,1
11784,0,1
24197,0,1
10134,0,1
20559,0,1
3479,0,1
18960,0,0
6002,0,0
11221,0,1
22770,0,1
12503,0,0
25279,0,0
14091,0,1
5249,0,0
19980,0,1
6323,0,0
10061,0,1
10753,0,1
15045,0,1
4467,0,0
6947,0,0
9928,0,0
16092,0,1
21611,0,0
26712,0,1
1739,0,1
5571,0,0
15357,0,0
25678,0,1
8905,0,0
28298,0,0
12655,0,0
11525,0,1
25840,0,1
29170,0,1
19832,0,1
16687,0,0
11652,0,1
21092,0,0
20223,0,0
455,0,1
29373,0,1
2262,0,0
6698,0,0
24344,0,0
23326,0,0
9623,0,1
2824,0,1
12676,0,1
29747,0,1
23381,0,1
13648,0,0
6062,0,0
14936,0,1
7925,0,0
28739,0,0
24365,0,1
22942,0,1
14719,0,1
26638,0,1
15300,0,1
17156,0,1
8708,0,0
21594,0,0
27190,0,1
27971,0,1
7113,0,0
19712,0,0
9114,0,1
28489,0,0
9702,0,1
21237,0,1
28013,0,1
14279,0,0
7778,0,1
7381,0,0
5154,0,1
1707,0,0
2887,0,0
5420,0,1
8912,0,0
24360,0,1
11923,0,0
26086,0,0
28886,0,1
23687,0,0
12769,0,1
815,0,1
341,0,0
28190,0,1
25179,0,0
9458,0,1
7347,0,0
12040,0,0
4361,0,0
648,0,0
13218,0,0
23370,0,1
24337,0,1
26655,0,0
21404,0,0
22119,0,0
4641,0,1
16729,0,1
8767,0,0
18673,0,1
27766,0,0
7461,0,0
29189,0,0
2032,0,1
26322,0,0
4144,0,0
2809,0,0
17425,0,0
14182,0,0
3436,0,1
25051,0,1
13686,0,1
5269,0,0
20392,0,1
24748,0,1
1813,0,1
12365,0,1
23906,0,0
22278,0,0
407,0,0
1387,0,0
25160,0,0
18725,0,0
1403,0,1
28866,0,0
27759,0,0
3591,0,0
13183,0,0
1113,0,1
25482,0,1
17920,0,1
24520,0,0
5578,0,1
4088,0,1
19605,0,1
25739,0,0
16802,0,0
17779,0,0
25782,0,0
26735,0,1
3366,0,0
3389,0,0
11782,0,0
17623,0,0
29567,0,1
16773,0,0
13983,0,0
13466,0,1
21777,0,0
10035,0,0
25265,0,0
4017,0,1
13951,0,1
14078,0,1
27424,0,1
29760,0,0
7299,0,1
20287,0,0
7965,0,1
26602,0,1
1947,0,1
12277,0,1
21871,0,1
16034,0,1
5839,0,1
2476,0,1
4524,0,0
24417,0,1
14050,0,1
12588,0,1
13035,0,1
11254,0,0
10221,0,0
2519,0,1
28727,0,1
15006,0,1
8788,0,1
4885,0,1
11727,0,0
9178,0,1
26453,0,0
2402,0,0
24070,0,0
23059,0,0
23885,0,1
21803,0,1
25440,0,0
29743,0,0
10950,0,1
24121,0,0
29979,0,0
1411,0,1
12329,0,0
18036,0,1
29842,0,0
26743,0,1
14812,0,1
8176,0,1
24999,0,0
5388,0,1
9763,0,1
12654,0,1
6202,0,1
5161,0,0
5636,0,0
16824,0,1
12377,0,0
28146,0,0
14685,0,1
12786,0,0
7328,0,1
29769,0,1
10206,0,0
4138,0,0
23877,0,0
9529,0,0
24016,0,0
139,0,0
19111,0,1
5639,0,1
14912,0,0
11578,0,1
21718,0,1
27494,0,1
20266,0,1
28062,0,1
3481,0,0
5654,0,1
12161,0,0
12272,0,0
18100,0,1
12721,0,1
7171,0,1
14718,0,0
7011,0,0
11676,0,1
13379,0,1
3186,0,0
17548,0,1
15078,0,1
27948,0,1
20031,0,1
9376,0,1
6518,0,1
8895,0,1
8106,0,0
24212,0,0
7841,0,0
15115,0,0
4447,0,0
17217,0,1
3149,0,1
25530,0,0
20973,0,0
14432,0,0
7575,0,0
5194,0,1
20179,0,0
25074,0,1
13712,0,0
28890,0,1
5943,0,1
25689,0,0
1374,0,0
29659,0,1
7688,0,1
2219,0,1
28030,0,1
14222,0,0
5701,0,0
3212,0,1
14076,0,1
17488,0,1
25846,0,1
975,0,0
2611,0,1
7988,0,1
22470,0,0
23290,0,0
7672,0,1
26329,0,0
17604,0,0
23315,0,0
20122,0,0
23488,0,1
22502,0,1
24773,0,1
10791,0,1
20056,0,1
27606,0,0
8159,0,0
19845,0,1
7774,0,0
16544,0,1
2286,0,0
5847,0,1
27823,0,1
13029,0,1
25461,0,1
1013,0,0
26787,0,1
153,0,1
22040,0,1
13860,0,0
27826,0,1
27278,0,0
8735,0,1
16355,0,1
10059,0,0
28826,0,1
7877,0,1
10904,0,1
29437,0,0
22936,0,0
27175,0,1
18732,0,1
26347,0,1
23500,0,0
17163,0,0
10323,0,0
9030,0,0
5257,0,0
1093,0,1
24580,0,0
10760,0,0
24772,0,0
1856,0,0
10105,0,1
21125,0,1
15492,0,0
17605,0,0
2655,0,1
11595,0,0
1899,0,1
29457,0,1
18595,0,1
7655,0,1
17271,0,0
9886,0,1
7068,0,0
16985,0,0
5410,0,0
27118,0,1
29580,0,1
28167,0,1
12933,0,1
20380,0,1
16003,0,1
4114,0,1
20578,0,1
27374,0,0
24667,0,1
17543,0,1
16202,0,1
18079,0,0
102,0,0
13149,0,1
18815,0,0
18981,0,1
27617,0,1
15321,0,0
17246,0,0
8443,0,0
28686,0,0
8681,0,1
12400,0,1
29880,0,1
23392,0,0
2303,0,0
12047,0,1
24500,0,0
27433,0,1
24637,0,1
26152,0,0
26625,0,0
4977,0,0
23659,0,1
22364,0,1
2925,0,0
68,0,0
10289,0,1
944,0,0
27358,0,1
23934,0,0
8252,0,0
10322,0,0
715,0,1
366,0,1
14601,0,0
21530,0,0
27508,0,1
915,0,1
11810,0,0
2705,0,0
3747,0,1
10067,0,0
24194,0,0
6479,0,0
7728,0,1
3373,0,0
13340,0,0
16695,0,1
19386,0,1
9846,0,1
2202,0,0
24816,0,0
24958,0,1
22291,0,1
25236,0,1
28863,0,1
25603,0,1
15410,0,0
876,0,1
6034,0,1
29222,0,0
5378,0,0
26868,0,1
6636,0,0
18961,0,0
21206,0,1
25491,0,0
176,0,1
12559,0,1
1291,0,0
21613,0,1
29695,0,0
22715,0,1
27331,0,1
8070,0,0
14855,0,0
11227,0,1
23207,0,0
29906,0,1
28281,0,0
23703,0,1
18693,0,1
1085,0,0
23050,0,1
16124,0,0
7544,0,0
10390,0,1
10133,0,1
18304,0,1
10371,0,0
18398,0,1
930,0,1
28161,0,0
16190,0,1
20402,0,1
3869,0,0
19492,0,1
29671,0,0
18377,0,1
14042,0,0
22025,0,0
11200,0,0
2461,0,0
817,0,1
28371,0,1
29177,0,1
17269,0,0
17146,0,1
21710,0,1
23712,0,0
10147,0,1
12636,0,0
15441,0,0
18984,0,0
23081,0,0
1206,0,1
16248,0,0
9657,0,1
27753,0,1
5357,0,1
18305,0,0
1847,0,1
11329,0,0
392,0,1
18228,0,0
1072,0,0
427,0,1
4278,0,1
3718,0,1
4396,0,0
13997,0,0
29128,0,1
24659,0,1
13146,0,0
18554,0,1
5875,0,1
27947,0,0
17478,0,1
27464,0,1
9158,0,1
15188,0,1
7155,0,0
29356,0,1
26898,0,1
28569,0,1
3169,0,0
961,0,1
13511,0,0
143,0,0
11495,0,0
27849,0,0
6176,0,1
18778,0,1
29923,0,1
27981,0,0
17325,0,0
13980,0,1
12645,0,1
14113,0,0
7006,0,0
13120,0,0
2762,0,0
28796,0,1
17479,0,0
23150,0,1
6818,0,0
13116,0,0
14646,0,0
27350,0,1
10180,0,1
16258,0,1
22392,0,1
9224,0,1
11824,0,1
9182,0,1
5784,0,0
1983,0,1
27723,0,1
22680,0,0
945,0,0
12188,0,0
25579,0,1
15915,0,1
24248,0,1
7106,0,1
2613,0,1
16649,0,0
720,0,0
24484,0,1
24205,0,0
24017,0,1
28409,0,0
11667,0,0
9334,0,0
4082,0,1
7682,0,1
7967,0,0
11234,0,0
11876,0,1
712,0,0
3641,0,1
1689,0,1
20783,0,1
10570,0,0
1454,0,0
2052,0,1
7500,0,0
28617,0,1
4543,0,1
24025,0,1
9849,0,1
7678,0,0
23765,0,0
1421,0,1
23880,0,1
2254,0,0
9336,0,0
6405,0,1
313,0,0
6542,0,1
24377,0,0
23267,0,0
5745,0,0
18475,0,0
13995,0,0
11915,0,1
28445,0,0
2870,0,0
18733,0,1
25949,0,1
8191,0,1
7050,0,1
4214,0,0
2212,0,0
25121,0,0
27236,0,1
8203,0,1
16171,0,1
21284,0,0
14289,0,0
8907,0,1
21511,0,1
20202,0,1
22455,0,1
11032,0,1
3175,0,1
25800,0,1
18480,0,0
20795,0,1
15413,0,0
228,0,0
4057,0,0
15203,0,1
5800,0,1
10058,0,0
4426,0,0
19580,0,0
11790,0,1
1929,0,0
8256,0,1
4264,0,1
16699,0,1
24978,0,1
6168,0,1
26095,0,0
14725,0,0
16362,0,0
16038,0,0
26750,0,1
1855,0,0
11887,0,1
27881,0,1
5741,0,1
17634,0,0
11240,0,1
2973,0,1
29535,0,1
20697,0,1
15004,0,0
9946,0,0
11026,0,1
24828,0,1
15962,0,1
12345,0,1
15534,0,0
1901,0,1
26167,0,0
6534,0,1
12606,0,1
18611,0,1
5598,0,1
14846,0,1
22362,0,1
20305,0,0
9052,0,0
14683,0,1
25061,0,1
6562,0,0
29024,0,1
28768,0,0
13397,0,0
3862,0,1
458,0,0
1045,0,1
8250,0,0
1812,0,1
22411,0,0
8053,0,0
25487,0,1
17644,0,1
18106,0,1
29256,0,0
13235,0,0
16694,0,0
3359,0,0
6293,0,1
5685,0,0
16211,0,1
8804,0,0
15378,0,0
6055,0,0
5975,0,0
15892,0,0
6615,0,0
6865,0,1
25422,0,1
10317,0,0
13180,0,0
5507,0,1
9261,0,1
4552,0,1
24735,0,0
27287,0,0
11803,0,1
29682,0,0
29135,0,1
23082,0,1
29060,0,0
6627,0,1
23169,0,0
8097,0,1
4772,0,1
19553,0,0
17566,0,1
15653,0,1
5237,0,0
11113,0,1
29223,0,0
10937,0,1
19324,0,0
27417,0,0
16841,0,1
14722,0,0
22803,0,1
1759,0,1
4624,0,0
4967,0,1
8618,0,1
11389,0,1
11585,0,0
18852,0,1
19606,0,1
