id,sentiment,true_label,accuracy
0,0.0,0,2.69921875
1,0.0,0,
2,1.0,1,
3,1.0,0,
4,0.0,0,
5,0.0,0,
6,1.0,1,
7,0.0,1,
8,0.0,0,
9,1.0,1,
10,0.0,0,
11,0.0,0,
12,0.0,0,
13,0.0,0,
14,0.0,0,
15,1.0,1,
16,0.0,0,
17,1.0,1,
18,0.0,0,
19,1.0,1,
20,1.0,1,
21,1.0,1,
22,1.0,1,
23,1.0,1,
24,0.0,0,
25,1.0,1,
26,0.0,0,
27,0.0,1,
28,1.0,1,
29,0.0,0,
30,0.0,0,
31,1.0,1,
32,0.0,0,
33,0.0,0,
34,0.0,0,
35,1.0,1,
36,1.0,1,
37,1.0,1,
38,0.0,0,
39,1.0,1,
40,0.0,0,
41,0.0,0,
42,0.0,0,
43,1.0,1,
44,0.0,0,
45,1.0,1,
46,1.0,1,
47,0.0,0,
48,1.0,1,
49,0.0,0,
50,0.0,0,
51,0.0,1,
52,0.0,0,
53,1.0,1,
54,0.0,0,
55,0.0,0,
56,0.0,0,
57,1.0,1,
58,1.0,1,
59,0.0,0,
60,1.0,1,
61,0.0,0,
62,0.0,0,
63,0.0,0,
64,0.0,0,
65,1.0,1,
66,0.0,0,
67,0.0,0,
68,0.0,0,
69,1.0,1,
70,0.0,0,
71,0.0,0,
72,1.0,1,
73,0.0,0,
74,0.0,0,
75,1.0,1,
76,0.0,0,
77,0.0,0,
78,0.0,0,
79,1.0,1,
80,1.0,1,
81,1.0,1,
82,1.0,1,
83,1.0,1,
84,1.0,1,
85,0.0,0,
86,1.0,1,
87,1.0,1,
88,1.0,1,
89,1.0,1,
90,0.0,0,
91,1.0,1,
92,0.0,0,
93,1.0,1,
94,0.0,1,
95,1.0,1,
96,0.0,0,
97,1.0,1,
98,1.0,1,
99,1.0,1,
100,0.0,1,
101,1.0,1,
102,0.0,0,
103,1.0,1,
104,0.0,0,
105,1.0,1,
106,0.0,0,
107,0.0,0,
108,1.0,1,
109,0.0,1,
110,0.0,0,
111,0.0,1,
112,1.0,1,
113,1.0,1,
114,0.0,0,
115,0.0,0,
116,0.0,0,
117,0.0,0,
118,1.0,1,
119,0.0,0,
120,1.0,1,
121,0.0,0,
122,0.0,0,
123,1.0,0,
124,0.0,1,
125,0.0,0,
126,1.0,1,
127,1.0,1,
128,1.0,1,
129,0.0,0,
130,1.0,1,
131,0.0,0,
132,1.0,1,
133,0.0,0,
134,0.0,0,
135,1.0,1,
136,1.0,1,
137,1.0,1,
138,0.0,0,
139,0.0,0,
140,1.0,1,
141,1.0,1,
142,1.0,1,
143,0.0,0,
144,0.0,0,
145,1.0,1,
146,0.0,0,
147,1.0,1,
148,0.0,0,
149,1.0,1,
150,1.0,1,
151,0.0,0,
152,1.0,1,
153,1.0,1,
154,1.0,0,
155,0.0,0,
156,1.0,1,
157,1.0,1,
158,0.0,1,
159,1.0,0,
160,1.0,1,
161,0.0,0,
162,0.0,0,
163,0.0,1,
164,1.0,1,
165,0.0,0,
166,1.0,1,
167,1.0,1,
168,0.0,1,
169,0.0,0,
170,1.0,1,
171,1.0,1,
172,0.0,1,
173,0.0,0,
174,1.0,1,
175,0.0,0,
176,0.0,1,
177,,1,
178,0.0,0,
179,1.0,1,
180,0.0,0,
181,0.0,0,
182,0.0,1,
183,0.0,0,
184,1.0,1,
185,0.0,1,
186,0.0,0,
187,0.0,0,
188,1.0,1,
189,0.0,0,
190,0.0,0,
191,1.0,1,
192,1.0,1,
193,0.0,0,
194,0.0,0,
195,0.0,0,
196,1.0,1,
197,1.0,1,
198,0.0,0,
199,0.0,0,
200,0.0,0,
201,1.0,1,
202,0.0,0,
203,0.0,0,
204,0.0,0,
205,1.0,1,
206,1.0,1,
207,0.0,0,
208,1.0,1,
209,0.0,0,
210,0.0,0,
211,0.0,0,
212,0.0,1,
213,0.0,0,
214,0.0,0,
215,1.0,1,
216,1.0,1,
217,1.0,1,
218,1.0,0,
219,1.0,1,
220,1.0,1,
221,0.0,0,
222,0.0,0,
223,1.0,1,
224,1.0,1,
225,1.0,1,
226,0.0,0,
227,0.0,0,
228,0.0,0,
229,1.0,1,
230,1.0,1,
231,1.0,1,
232,1.0,1,
233,,0,
234,1.0,1,
235,0.0,0,
236,0.0,0,
237,0.0,0,
238,0.0,0,
239,1.0,1,
240,1.0,1,
241,0.0,0,
242,0.0,0,
243,0.0,1,
244,0.0,0,
245,1.0,1,
246,1.0,1,
247,0.0,0,
248,0.0,0,
249,1.0,0,
250,0.0,0,
251,0.0,0,
252,0.0,0,
253,0.0,0,
254,0.0,0,
255,1.0,1,
256,0.0,0,
257,0.0,0,
258,0.0,0,
259,1.0,1,
260,0.0,0,
261,1.0,1,
262,0.0,0,
263,1.0,0,
264,0.0,0,
265,1.0,1,
266,0.0,1,
267,1.0,1,
268,1.0,1,
269,1.0,1,
270,0.0,0,
271,0.0,0,
272,0.0,0,
273,0.0,0,
274,1.0,1,
275,0.0,0,
276,1.0,1,
277,1.0,1,
278,1.0,1,
279,0.0,0,
280,1.0,1,
281,0.0,1,
282,1.0,1,
283,,1,
284,0.0,0,
285,0.0,1,
286,0.0,0,
287,0.0,1,
288,1.0,1,
289,1.0,1,
290,1.0,1,
291,1.0,1,
292,1.0,1,
293,0.0,0,
294,1.0,1,
295,1.0,1,
296,1.0,1,
297,0.0,0,
298,0.0,0,
299,0.0,0,
300,1.0,1,
301,1.0,1,
302,0.0,0,
303,1.0,1,
304,0.0,0,
305,1.0,1,
306,0.0,0,
307,0.0,0,
308,1.0,1,
309,1.0,1,
310,1.0,1,
311,0.0,1,
312,1.0,1,
313,0.0,0,
314,0.0,0,
