id,sentiment,response_err_cnt
"12311_10",1,258
"8348_2",-1,258
"5828_4",0,258
"7186_2",1,258
"12128_7",1,258
"2913_8",-1,258
"4396_1",-1,258
"395_2",-1,258
"10616_1",0,258
"9074_9",-1,258
"9252_3",-1,258
"9896_9",-1,258
"574_4",1,258
"11182_8",-1,258
"11656_4",-1,258
"2322_4",0,258
"8703_1",0,258
"7483_1",-1,258
"6007_10",1,258
"12424_4",-1,258
"4672_1",0,258
"10841_3",-1,258
"8954_7",-1,258
"7392_1",-1,258
"10288_8",-1,258
"5343_4",0,258
"4950_1",0,258
"9257_4",1,258
"8689_3",0,258
"4480_2",0,258
"9286_10",-1,258
"12245_10",-1,258
"7529_7",-1,258
"4_4",0,258
"5299_2",-1,258
"12077_8",-1,258
"10701_2",-1,258
"11579_1",-1,258
"10993_1",-1,258
"8913_1",-1,258
"1350_3",-1,258
"3804_2",-1,258
"5025_3",1,258
"5170_8",-1,258
"8225_8",-1,258
"6427_7",-1,258
"3165_3",0,258
"7902_9",-1,258
"8208_3",0,258
"3577_8",-1,258
"4865_1",0,258
"9063_3",1,258
"1106_1",-1,258
"1117_9",-1,258
"1050_4",-1,258
"10755_9",-1,258
"2729_8",-1,258
"10072_10",0,258
"2904_7",0,258
"4584_2",-1,258
"189_4",-1,258
"6302_4",-1,258
"8138_9",-1,258
"1262_1",-1,258
"2199_10",1,258
"6551_7",-1,258
"8082_7",0,258
"4897_8",1,258
"7360_1",-1,258
"11012_10",1,258
"12046_1",-1,258
"2331_2",-1,258
"8961_9",-1,258
"751_7",-1,258
"9884_10",-1,258
"10016_8",1,258
"8023_10",1,258
"2628_1",1,258
"5832_1",-1,258
"7302_1",0,258
"4501_3",-1,258
"1121_7",1,258
"8334_3",0,258
"9789_10",0,258
"4230_10",-1,258
"824_4",-1,258
"6803_9",1,258
"3086_7",-1,258
"1135_8",-1,258
"10136_1",1,258
"11129_3",-1,258
"2072_8",0,258
"9501_7",-1,258
"319_10",0,258
"1693_7",-1,258
"10886_1",-1,258
"9406_8",1,258
"10376_10",-1,258
"9902_1",0,258
"9938_8",-1,258
"7080_9",-1,258
"11944_8",0,258
"5249_1",0,258
"9599_2",0,258
"9620_1",0,258
"11244_1",0,258
"6841_10",1,258
"10050_4",-1,258
"10512_9",-1,258
"11327_3",-1,258
"10681_8",0,258
"808_3",-1,258
"546_7",1,258
"10765_1",0,258
"7189_9",-1,258
"6005_9",1,258
"11915_9",-1,258
"5740_10",-1,258
"7097_10",-1,258
"9573_10",1,258
"5084_4",1,258
"12332_7",-1,258
"8154_1",-1,258
"5610_1",0,258
"5323_9",-1,258
"11034_8",1,258
"3977_2",0,258
"12380_7",-1,258
"1737_8",0,258
"6030_9",-1,258
"5918_7",-1,258
"7061_9",1,258
